City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
82,lompoc,34.6391,-120.4579,11.55,83,100,6.26,US,1707357908
83,margaret river,-33.95,115.0667,27.19,35,0,1.62,AU,1707358170
84,greenville,35.6127,-77.3663,5.09,81,0,0.89,US,1707358171
85,papatowai,-46.5619,169.4708,14.9,64,25,8.78,NZ,1707358153
86,champerico,14.3,-91.9167,26.45,64,98,1.74,GT,1707358171
87,callao,-12.0667,-77.15,28.18,73,0,6.17,PE,1707357825
88,lorengau,-2.0226,147.2712,28.06,80,100,8.99,PG,1707358171
89,rawson,-43.3002,-65.1023,21.4,25,90,4.88,AR,1707358153
90,south hedland,-20.4089,118.5983,39.96,13,0,7.2,AU,1707358172
91,tome,-36.6167,-72.95,16.34,60,82,3.27,CL,1707358172
92,kailua-kona,19.6406,-155.9956,26.27,71,40,3.6,US,1707358092
93,kingston,17.997,-76.7936,23.53,69,20,10.29,JM,1707357879
94,nichinan,31.6,131.3667,9.82,66,100,2.91,JP,1707358172
95,udachny,66.4167,112.4,-25.31,75,100,1.11,RU,1707358161
96,yellowknife,62.456,-114.3525,-20.35,100,95,2.44,CA,1707358173
97,khovd,48.0056,91.6419,-20.52,90,43,0.32,MN,1707358173
98,tougue,11.4667,-11.6,21.7,17,95,0.93,GN,1707358173
99,fisterra,42.9049,-9.2629,16.53,90,100,16.16,ES,1707358173
100,kristiansand,58.1467,7.9956,-3.97,93,8,2.06,NO,1707358173
101,al-hamdaniya,36.2715,43.3737,9.46,79,100,1.82,IQ,1707358174
102,olonkinbyen,70.9221,-8.7187,-2.76,59,91,6.36,SJ,1707358146
103,george town,5.4112,100.3354,29.97,83,20,3.6,MY,1707358105
104,port mathurin,-19.6833,63.4167,26.62,79,73,8.36,MU,1707358174
105,hermanus,-34.4187,19.2345,18.22,81,78,4.22,ZA,1707358151
106,eureka,40.8021,-124.1637,8.85,90,90,2.35,US,1707358174
107,vadso,70.0744,29.7487,-14.91,85,100,4.12,NO,1707358175
108,invercargill,-46.4,168.35,15.01,74,82,8.05,NZ,1707358150
109,waddan,29.1614,16.139,12.3,35,0,1.76,LY,1707358175
110,iskateley,67.6803,53.1512,-17.21,96,100,5.81,RU,1707358145
111,kasane,-17.8167,25.15,18.26,96,8,1.78,BW,1707358175
112,tambovka,50.0969,128.0489,-15.57,90,26,2.24,RU,1707358176
113,susuman,62.7833,148.1667,-29.31,100,98,0.63,RU,1707358176
114,gadzhiyevo,69.2551,33.3362,-23.64,100,92,3.46,RU,1707358176
115,karkira,36.9292,6.5856,11.3,79,0,4.19,DZ,1707358176
116,yuzhno-kurilsk,44.0306,145.8556,-6.46,70,100,4.09,RU,1707358176
117,atafu village,-8.5421,-172.5159,28.32,81,100,8.06,TK,1707358146
118,north bend,43.4065,-124.2243,8.81,93,100,3.6,US,1707358177
119,gaspe,48.8334,-64.4819,-6.05,92,0,0.0,CA,1707357963
120,mournies,35.4764,24.0092,13.24,87,20,0.0,GR,1707358177
121,avarua,-21.2078,-159.775,28.03,78,75,7.2,CK,1707358157
122,bandar abbas,27.1865,56.2808,11.99,76,0,2.06,IR,1707358177
123,uturoa,-16.7333,-151.4333,28.49,84,83,12.3,PF,1707358178
124,kuybyshev,55.4475,78.3218,-4.41,93,100,5.7,RU,1707358178
125,conduaga,8.862,117.4893,29.07,64,50,2.35,PH,1707358178
126,vernon,50.2581,-119.2691,3.67,89,100,0.47,CA,1707358178
127,porto novo,6.4965,2.6036,23.81,57,8,0.49,BJ,1707358174
128,isangel,-19.55,169.2667,30.06,70,75,4.12,VU,1707358179
129,tromso,69.6496,18.957,-11.99,85,99,3.09,NO,1707358118
130,bilibino,68.0546,166.4372,-34.24,100,98,0.32,RU,1707358179
131,kerikeri,-35.2268,173.9474,25.1,59,29,3.84,NZ,1707358179
132,blackmans bay,-43.0167,147.3167,24.74,48,0,3.04,AU,1707358179
133,antalaha,-14.9003,50.2788,24.37,92,100,1.54,MG,1707358179
134,qaqortoq,60.7167,-46.0333,-7.02,79,100,2.02,GL,1707358161
135,nakamura,32.9833,132.9333,11.52,45,92,0.61,JP,1707358180
136,longyearbyen,78.2186,15.6401,-8.09,79,40,5.66,SJ,1707358180
137,puerto penasco,31.3167,-113.5333,16.06,62,0,2.68,MX,1707358180
138,masterton,-40.9597,175.6575,27.28,46,40,3.62,NZ,1707358180
139,ashkasham,36.6833,71.5333,-17.59,50,4,1.56,AF,1707358180
140,kovrov,56.3572,41.3192,-12.05,95,100,4.25,RU,1707358180
141,constantia,44.1833,28.65,9.38,72,100,4.69,RO,1707358181
142,colares,38.7992,-9.4469,16.66,92,100,6.71,PT,1707358181
143,ancud,-41.8697,-73.8203,11.59,77,89,3.29,CL,1707358181
144,homer,59.6425,-151.5483,0.94,80,20,1.54,US,1707358182
145,selkirk,50.1436,-96.8845,2.88,91,100,1.34,CA,1707358182
146,daru,-9.0763,143.2092,28.42,73,100,4.24,PG,1707358182
147,lihue,21.9789,-159.3672,27.58,68,0,7.72,US,1707358182
148,chonchi,-42.6128,-73.8092,12.56,93,25,0.89,CL,1707358158
149,jamestown,42.097,-79.2353,3.8,62,0,2.06,US,1707358170
150,agat village,13.3886,144.6585,31.52,63,40,6.69,GU,1707358183
151,nieuw amsterdam,5.8833,-55.0833,26.09,78,2,4.76,SR,1707358157
152,piti village,13.4626,144.6933,31.49,62,40,6.69,GU,1707358183
153,qashyr,53.0675,76.1036,-7.23,87,7,6.36,KZ,1707358183
154,leer,53.2316,7.461,1.07,90,100,2.53,DE,1707358183
155,indramayu,-6.3264,108.32,27.85,74,45,2.71,ID,1707358183
156,bridgewater,44.3835,-64.5155,-2.4,81,100,0.89,CA,1707358176
157,merizo village,13.2658,144.6691,31.31,70,83,6.24,GU,1707358184
158,nakasongola,1.3089,32.4564,20.84,63,10,1.63,UG,1707358184
159,galesong,-5.3166,119.3661,25.01,79,94,2.62,ID,1707358184
160,kourou,5.1552,-52.6478,28.03,80,94,3.78,GF,1707358185
161,bangolo,7.0069,-7.475,20.55,29,8,0.55,CI,1707358185
162,nishinoomote,30.7333,131.0,11.31,50,75,7.2,JP,1707358185
163,ust-nera,64.5667,143.2,-26.95,97,100,1.03,RU,1707358185
164,faya-largeau,17.9257,19.1043,14.92,30,31,6.19,TD,1707358186
165,safi,32.1667,-8.8333,13.65,39,57,2.47,MA,1707358186
166,idri,27.5,13.2667,9.98,46,0,1.26,LY,1707358186
167,paita,-5.0892,-81.1144,25.96,82,62,5.67,PE,1707358186
168,coquimbo,-29.9533,-71.3436,18.85,88,100,2.57,CL,1707358173
169,yuncheng,35.0231,110.9928,1.72,66,6,2.62,CN,1707358186
170,lepsy,46.235,78.9456,-1.84,93,100,6.0,KZ,1707358187
171,touros,-5.1989,-35.4608,26.91,81,44,4.8,BR,1707358187
172,holualoa,19.6228,-155.9522,24.2,71,40,3.6,US,1707358187
173,howard springs,-12.497,131.047,32.21,78,93,2.05,AU,1707358187
174,saint-pierre,-21.3393,55.4781,25.82,78,100,1.03,RE,1707358187
175,kapa'a,22.0752,-159.319,27.99,69,0,7.72,US,1707358187
176,omdurman,15.6445,32.4777,18.49,20,8,4.98,SD,1707358188
177,parbhani,19.2667,76.7833,20.87,48,91,2.24,IN,1707358188
178,road town,18.4167,-64.6167,24.05,88,40,3.6,VG,1707358188
179,hell-ville,-13.4,48.2667,27.64,77,97,0.66,MG,1707358188
180,selfoss,63.9331,-20.9971,-5.64,83,4,4.78,IS,1707358188
181,mahavelona,-17.6848,49.5087,24.4,94,100,1.18,MG,1707358188
182,badger,64.8,-147.5333,-15.01,78,40,0.0,US,1707358189
183,port lincoln,-34.7333,135.8667,19.88,62,7,5.3,AU,1707358189
184,praia da vitoria,38.7333,-27.0667,16.53,87,61,9.13,PT,1707358189
185,wailua homesteads,22.0669,-159.378,27.24,70,0,7.72,US,1707358190
186,fuling,29.7022,107.3919,7.85,75,99,0.44,CN,1707358190
187,xinpu,34.5997,119.1594,1.9,53,100,1.4,CN,1707358190
188,stephenville,32.2207,-98.2023,16.25,67,0,5.14,US,1707358190
189,starodub,52.5844,32.7633,-6.54,88,52,5.13,RU,1707358190
190,utrik,11.2278,169.8474,26.39,81,100,9.69,MH,1707358149
191,ta`u,-14.2336,-169.5144,28.31,79,100,9.26,AS,1707358191
192,nova sintra,14.8667,-24.7167,21.39,74,0,3.62,CV,1707358156
193,saint-flour,45.0833,3.0,4.38,96,100,2.57,FR,1707358191
194,jamaame,0.0697,42.745,26.29,85,28,4.42,SO,1707358191
195,cromer,52.9312,1.2989,1.0,79,100,1.41,GB,1707358191
196,jumla,29.2747,82.1838,-1.91,39,0,2.77,NP,1707358191
197,barabinsk,55.3571,78.357,-4.58,94,100,5.64,RU,1707358192
198,castillos,-34.1667,-53.8333,21.64,87,41,2.73,UY,1707358149
199,luderitz,-26.6481,15.1594,17.95,74,88,5.02,NA,1707358192
200,hammerfest,70.6634,23.6821,-10.75,67,0,3.6,NO,1707358192
201,khandyga,62.6667,135.6,-37.61,97,79,0.31,RU,1707358192
202,san andres,12.5847,-81.7006,27.01,69,20,5.66,CO,1707358193
203,muravlenko,63.7898,74.523,-9.36,85,94,7.66,RU,1707358193
204,nerekhta,57.4588,40.5747,-15.89,96,100,3.97,RU,1707358193
